Player 1 Agent,Player 2 Agent,Score
CYP2,CBP3,12.656
CYP2,CBP4,12.022
CYP3,CRP0,11.842
CYP3,CRP1,12.258
CYP3,CRP2,12.821
CYP3,CRP3,12.024
CYP3,CRP4,12.455
CYP3,CYP0,4.368
CYP3,CYP1,3.806
CYP3,CYP2,2.200
CYP3,CYP3,20.505
CYP3,CYP4,1.162
CYP3,CGP0,12.649
CYP3,CGP1,13.319
CYP3,CGP2,13.487
CYP3,CGP3,12.986
CYP3,CGP4,13.381
CYP3,CWP0,12.594
CYP3,CWP1,12.546
CYP3,CWP2,13.441
CYP3,CWP3,11.833
CYP3,CWP4,12.365
CYP3,CBP0,11.914
CYP3,CBP1,11.907
CYP3,CBP2,12.633
CYP3,CBP3,11.676
CYP3,CBP4,12.372
CYP4,CRP0,11.464
CYP4,CRP1,11.439
CYP4,CRP2,11.237
CYP4,CRP3,12.543
CYP4,CRP4,10.960
CYP4,CYP0,3.889
CYP4,CYP1,2.828
CYP4,CYP2,2.008
CYP4,CYP3,1.081
CYP4,CYP4,21.397
CYP4,CGP0,11.752
CYP4,CGP1,12.078
CYP4,CGP2,12.345
CYP4,CGP3,13.047
CYP4,CGP4,11.590
CYP4,CWP0,11.508
CYP4,CWP1,11.240
CYP4,CWP2,12.156
CYP4,CWP3,12.409
CYP4,CWP4,11.228
CYP4,CBP0,11.109
CYP4,CBP1,11.124
CYP4,CBP2,11.882
CYP4,CBP3,12.304
CYP4,CBP4,10.703
CGP0,CRP0,10.109
CGP0,CRP1,11.616
CGP0,CRP2,11.901
CGP0,CRP3,12.045
CGP0,CRP4,11.300
CGP0,CYP0,10.509
CGP0,CYP1,11.768
CGP0,CYP2,12.365
CGP0,CYP3,12.254
CGP0,CYP4,11.478
CGP0,CGP0,18.885
CGP0,CGP1,7.748
CGP0,CGP2,6.916
CGP0,CGP3,4.619
CGP0,CGP4,3.892
CGP0,CWP0,10.748
CGP0,CWP1,11.180
CGP0,CWP2,11.786
CGP0,CWP3,11.532
CGP0,CWP4,11.274
CGP0,CBP0,9.905
CGP0,CBP1,10.845
CGP0,CBP2,11.584
CGP0,CBP3,12.032
CGP0,CBP4,11.158
CGP1,CRP0,11.667
CGP1,CRP1,10.861
CGP1,CRP2,12.476
CGP1,CRP3,12.626
CGP1,CRP4,12.028
CGP1,CYP0,11.654
CGP1,CYP1,11.240
CGP1,CYP2,12.847
CGP1,CYP3,13.124
CGP1,CYP4,11.778
CGP1,CGP0,8.010
CGP1,CGP1,19.655
CGP1,CGP2,4.589
CGP1,CGP3,3.329
CGP1,CGP4,2.708
CGP1,CWP0,11.967
CGP1,CWP1,10.546
CGP1,CWP2,12.390
CGP1,CWP3,12.518
CGP1,CWP4,12.034
CGP1,CBP0,10.952
CGP1,CBP1,10.513
CGP1,CBP2,12.289
CGP1,CBP3,12.055
CGP1,CBP4,11.930
CGP2,CRP0,11.993
CGP2,CRP1,12.303
CGP2,CRP2,11.616
CGP2,CRP3,13.112
CGP2,CRP4,12.523
CGP2,CYP0,12.510
CGP2,CYP1,12.526
CGP2,CYP2,11.628
CGP2,CYP3,13.319
CGP2,CYP4,12.234
CGP2,CGP0,6.656
CGP2,CGP1,4.602
CGP2,CGP2,20.447
CGP2,CGP3,2.197
CGP2,CGP4,2.124
CGP2,CWP0,11.976
CGP2,CWP1,12.443
CGP2,CWP2,10.931
CGP2,CWP3,13.081
CGP2,CWP4,12.619
CGP2,CBP0,11.623
CGP2,CBP1,12.451
CGP2,CBP2,11.516
CGP2,CBP3,12.720
CGP2,CBP4,12.338
CGP3,CRP0,12.657
CGP3,CRP1,12.755
CGP3,CRP2,13.230
CGP3,CRP3,12.007
CGP3,CRP4,12.685
CGP3,CYP0,12.692
CGP3,CYP1,13.378
CGP3,CYP2,13.521
CGP3,CYP3,12.314
CGP3,CYP4,12.401
CGP3,CGP0,4.388
CGP3,CGP1,3.952
CGP3,CGP2,2.407
CGP3,CGP3,20.414
CGP3,CGP4,1.127
CGP3,CWP0,11.955
CGP3,CWP1,12.888
CGP3,CWP2,12.866
CGP3,CWP3,12.259
CGP3,CWP4,12.587
CGP3,CBP0,12.178
CGP3,CBP1,12.925
CGP3,CBP2,13.099
CGP3,CBP3,12.064
CGP3,CBP4,12.532
CGP4,CRP0,11.866
CGP4,CRP1,12.324
CGP4,CRP2,12.608
CGP4,CRP3,12.740
CGP4,CRP4,11.412
CGP4,CYP0,12.043
CGP4,CYP1,12.305
CGP4,CYP2,12.630
CGP4,CYP3,13.095
CGP4,CYP4,11.427
CGP4,CGP0,3.696
CGP4,CGP1,2.781
CGP4,CGP2,2.289
CGP4,CGP3,0.911
CGP4,CGP4,21.639
CGP4,CWP0,11.740
CGP4,CWP1,11.926
CGP4,CWP2,13.012
CGP4,CWP3,12.949
CGP4,CWP4,12.103
CGP4,CBP0,11.405
CGP4,CBP1,11.777
CGP4,CBP2,12.719
CGP4,CBP3,12.858
CGP4,CBP4,11.246
CWP0,CRP0,9.831
CWP0,CRP1,10.903
CWP0,CRP2,11.452
CWP0,CRP3,11.679
CWP0,CRP4,10.835
CWP0,CYP0,10.249
CWP0,CYP1,11.177
CWP0,CYP2,11.372
CWP0,CYP3,12.212
CWP0,CYP4,11.059
CWP0,CGP0,10.308
CWP0,CGP1,11.570
CWP0,CGP2,11.662
CWP0,CGP3,12.310
CWP0,CGP4,11.314
CWP0,CWP0,18.775
CWP0,CWP1,7.806
CWP0,CWP2,6.715
CWP0,CWP3,4.821
CWP0,CWP4,3.628
CWP0,CBP0,9.444
CWP0,CBP1,10.933
CWP0,CBP2,11.107
CWP0,CBP3,11.137
CWP0,CBP4,10.885
CWP1,CRP0,11.049
CWP1,CRP1,9.997
CWP1,CRP2,11.875
CWP1,CRP3,12.124
CWP1,CRP4,11.200
CWP1,CYP0,11.200
CWP1,CYP1,10.573
CWP1,CYP2,11.598
CWP1,CYP3,12.322
CWP1,CYP4,11.114
CWP1,CGP0,11.448
CWP1,CGP1,10.645
CWP1,CGP2,12.166
CWP1,CGP3,12.979
CWP1,CGP4,12.192
CWP1,CWP0,7.876
CWP1,CWP1,19.488
CWP1,CWP2,4.501
CWP1,CWP3,3.727
CWP1,CWP4,2.610
CWP1,CBP0,10.493
CWP1,CBP1,9.772
CWP1,CBP2,11.493
CWP1,CBP3,12.387
CWP1,CBP4,11.138
CWP2,CRP0,10.883
CWP2,CRP1,11.518
CWP2,CRP2,10.832
CWP2,CRP3,12.552
CWP2,CRP4,11.917
CWP2,CYP0,11.558
CWP2,CYP1,12.414
CWP2,CYP2,10.399
CWP2,CYP3,12.881
CWP2,CYP4,11.575
CWP2,CGP0,11.411
CWP2,CGP1,12.002
CWP2,CGP2,10.874
CWP2,CGP3,13.479
CWP2,CGP4,12.309
CWP2,CWP0,6.424
CWP2,CWP1,4.350
CWP2,CWP2,20.240
CWP2,CWP3,2.283
CWP2,CWP4,2.057
CWP2,CBP0,10.905
CWP2,CBP1,11.569
CWP2,CBP2,9.992
CWP2,CBP3,12.234
CWP2,CBP4,11.592
CWP3,CRP0,11.651
CWP3,CRP1,11.880
CWP3,CRP2,12.467
CWP3,CRP3,11.470
CWP3,CRP4,11.620
CWP3,CYP0,12.205
CWP3,CYP1,12.235
CWP3,CYP2,13.099
CWP3,CYP3,11.367
CWP3,CYP4,12.080
CWP3,CGP0,11.860
CWP3,CGP1,12.248
CWP3,CGP2,12.634
CWP3,CGP3,12.099
CWP3,CGP4,12.298
CWP3,CWP0,4.787
CWP3,CWP1,4.021
CWP3,CWP2,1.986
CWP3,CWP3,20.434
CWP3,CWP4,1.280
CWP3,CBP0,11.145
CWP3,CBP1,11.975
CWP3,CBP2,12.374
CWP3,CBP3,10.698
CWP3,CBP4,11.914
CWP4,CRP0,11.213
CWP4,CRP1,11.737
CWP4,CRP2,12.134
CWP4,CRP3,12.266
CWP4,CRP4,10.939
CWP4,CYP0,11.191
CWP4,CYP1,12.232
CWP4,CYP2,12.194
CWP4,CYP3,12.124
CWP4,CYP4,11.274
CWP4,CGP0,11.715
CWP4,CGP1,12.480
CWP4,CGP2,12.249
CWP4,CGP3,12.773
CWP4,CGP4,11.572
CWP4,CWP0,3.530
CWP4,CWP1,2.525
CWP4,CWP2,2.273
CWP4,CWP3,1.010
CWP4,CWP4,21.643
CWP4,CBP0,10.960
CWP4,CBP1,11.363
CWP4,CBP2,11.674
CWP4,CBP3,11.818
CWP4,CBP4,10.801
CBP0,CRP0,9.920
CBP0,CRP1,11.042
CBP0,CRP2,11.166
CBP0,CRP3,11.760
CBP0,CRP4,10.784
CBP0,CYP0,9.826
CBP0,CYP1,11.398
CBP0,CYP2,11.590
CBP0,CYP3,12.286
CBP0,CYP4,11.268
CBP0,CGP0,10.219
CBP0,CGP1,11.320
CBP0,CGP2,11.888
CBP0,CGP3,12.016
CBP0,CGP4,11.398
CBP0,CWP0,9.910
CBP0,CWP1,10.863
CBP0,CWP2,11.490
CBP0,CWP3,11.957
CBP0,CWP4,11.135
CBP0,CBP0,18.898
CBP0,CBP1,7.800
CBP0,CBP2,6.576
CBP0,CBP3,4.766
CBP0,CBP4,3.562
CBP1,CRP0,11.026
CBP1,CRP1,9.671
CBP1,CRP2,11.378
