model,turn,index_mean,index_sem,final_score_mean,final_score_sem,final_non_zero_score_mean,final_non_zero_score_sem,bombout_score_mean,bombout_score_sem,action_is_hint_mean,action_is_hint_sem,action_is_hint_colour_mean,action_is_hint_colour_sem,action_is_hint_rank_mean,action_is_hint_rank_sem,action_is_play_mean,action_is_play_sem,action_is_discard_mean,action_is_discard_sem,action_trigger_bomb_mean,action_trigger_bomb_sem,played_card_knowledge_mean,played_card_knowledge_sem,known_unplayable_play_mean,known_unplayable_play_sem,terminal_mean,terminal_sem,terminal_bombout_mean,terminal_bombout_sem,player_caused_bombout_mean,player_caused_bombout_sem,partner_caused_bombout_mean,partner_caused_bombout_sem,partner_trigger_bomb_mean_sem,partner_trigger_bomb
sba_sad_six_1_4_6_7_10_12,15,309042.1259044447,979.622783069859,0.07407407407407407,0.07407407407407406,3.685185185185185,0.14436558258605703,3.611111111111111,0.15952556026926215,0.15306649821982313,0.0019293307961873798,0.012633513265188929,0.0005984711623421314,0.14043298495463422,0.0018617287323604574,0.13575284254048467,0.0018354198023094286,0.19650855633398415,0.002129233682825005,0.009331572298150913,0.0005152091184858483,0.5595159607442244,0.0035956242880223577,0.00951776649746193,0.0014122060468788069,0.0015504766280004594,0.0002108325376298351,0.9814814814814815,0.018518518518518517,0.2727272727272727,0.0606060606060606,0.7272727272727273,0.060606060606060594,0.022338348455265878,0.0007918844006536151
sba_sad_six_1_4_6_7_10_12,16,309134.8473284638,980.5039149999687,0.0,0.0,4.320987654320987,0.10065703978653767,4.320987654320987,0.10065703978653767,0.1613274285385633,0.001972555563345307,0.013113245528268246,0.0006100531532081994,0.14821418301029504,0.0019054124743945035,0.14004716167251394,0.0018610300792917644,0.2129752113648128,0.002195521297906373,0.011100247311209524,0.0005618512886739998,0.5525626877514029,0.0034925630974094696,0.011704312114989733,0.0015413331185963506,0.002329326508310807,0.0002585161666366687,1.0,0.0,0.3780487804878049,0.053877765181764334,0.6219512195121951,0.05387776518176433,0.021107724161730027,0.0007708450281435166
sba_sad_six_1_4_6_7_10_12,17,309192.32012221485,981.8148734106527,0.0,0.0,4.36144578313253,0.10919833604532038,4.36144578313253,0.10919833604532038,0.1512120600697547,0.00192343779840929,0.013922116853543942,0.000629062182676946,0.13728994321621077,0.0018477241034896815,0.13207275242844377,0.0018177477129108289,0.20205805205661084,0.0021558029425212144,0.010751448418989422,0.000553696184121921,0.5476170299446275,0.003629371607636612,0.01178524661719773,0.0015944645144481706,0.0023924134551638657,0.00026229095891718544,1.0,0.0,0.32142857142857145,0.05126264109724127,0.6785714285714286,0.05126264109724127,0.0226270429193209,0.0007984162925896303
sba_sad_six_1_4_6_7_10_12,18,309315.3151690263,983.1132249841057,0.09615384615384616,0.06766017806305855,4.576923076923077,0.10818993105776059,4.480769230769231,0.12447107605175564,0.15732447269575267,0.0019571936934871235,0.014620052008090148,0.0006451813330441456,0.14270442068766254,0.0018801369305836643,0.13868824039295002,0.0018578279057612258,0.2182606183184051,0.0022203639150407133,0.010921698930944813,0.0005586835858103473,0.546155386127454,0.0034625117772005463,0.012708333333333334,0.0016169316405587745,0.0030049118751805837,0.0002942170616807629,0.9807692307692307,0.013532035612611711,0.41904761904761906,0.04838216375282526,0.580952380952381,0.04838216375282525,0.021496677260907253,0.0007796008340293047
sba_sad_six_1_4_6_7_10_12,19,309413.6290210398,985.0007625650753,0.0449438202247191,0.04494382022471911,4.696629213483146,0.14239711837411564,4.651685393258427,0.151685393258427,0.1464962615197357,0.0019035968127209728,0.013881643772097605,0.0006298598905823793,0.13261461774763808,0.0018258316556612848,0.13209296933866574,0.0018227849695876413,0.20686257462470295,0.002180590765345604,0.01069379238393323,0.000553720019218733,0.5541955433960002,0.00373835705107731,0.014699429574374727,0.001782769082404341,0.0025792615776966325,0.0002730523228277095,0.9887640449438202,0.011235955056179777,0.42391304347826086,0.051803811545379747,0.5760869565217391,0.05180381154537974,0.019996522343940185,0.0007536158586629511
sba_sad_six_1_4_6_7_10_12,20,309463.00659557775,986.6000921171711,0.03278688524590164,0.03278688524590164,5.114754098360656,0.11824297472522585,5.081967213114754,0.1251419267077838,0.15410988755556848,0.001946220440688426,0.014992590870790598,0.0006550551976737605,0.13911729668477787,0.0018654446155447985,0.1384199668768341,0.0018615169149130764,0.2218961559694337,0.0022398218309675443,0.010895778249121075,0.0005595900183639591,0.5525192547015577,0.0035136942067232487,0.009445843828715366,0.0014015842288018134,0.0035447598570473894,0.00032036282198360703,0.9918032786885246,0.00819672131147541,0.4,0.04399413450640599,0.6,0.04399413450640598,0.018653572362495277,0.0007293096911057803
sba_sad_six_1_4_6_7_10_12,21,309656.55101326725,988.5649966632241,0.15873015873015872,0.09113931315087084,5.388888888888889,0.12082900010475112,5.23015873015873,0.13991503018422924,0.14917626476162707,0.001923802970374677,0.013413033969966468,0.000621186669477813,0.13576323079166058,0.0018496875791789687,0.13515089663216212,0.0018461652141374886,0.20087476308499783,0.002163520627007256,0.010555474558973611,0.0005518557028226385,0.5458840127845477,0.0036214415048253026,0.013160733549083063,0.0016741148333022655,0.003674004956990815,0.00032670932322057217,0.9761904761904762,0.013636020060263194,0.2992125984251969,0.04079414245308813,0.7007874015748031,0.04079414245308814,0.01974048695145065,0.0007511737307100291
sba_sad_six_1_4_6_7_10_12,22,309891.33583072375,990.6482517460349,0.08870967741935484,0.06273353617484823,5.75,0.12044207842980355,5.661290322580645,0.13688255582982556,0.1524481254938687,0.0019446184839131974,0.013989288536392636,0.0006353731396996455,0.13845883695747607,0.0018684805288858796,0.14053674383212852,0.001880177371310519,0.22113611753343673,0.002245178339081833,0.010448066961280693,0.0005500820711539946,0.5421413944228112,0.0034919928267567245,0.013327780091628489,0.0016550057480660219,0.0036290204571395126,0.0003253085394783883,0.9838709677419355,0.011358491890219655,0.41732283464566927,0.04393036393688046,0.5826771653543307,0.04393036393688046,0.018730428165881354,0.0007334292724031229
sba_sad_six_1_4_6_7_10_12,23,310133.37564987515,992.7657810859862,0.05755395683453238,0.04181497015401938,5.83453237410072,0.12405292236333394,5.776978417266187,0.1358650138869506,0.1471875458951388,0.0019201802930420685,0.013452783081216037,0.0006243738658639725,0.13373476281392274,0.0018447066286524897,0.13402849170215891,0.001846418215199405,0.20434718754589515,0.0021853743561432606,0.010515494198854457,0.0005528394830028678,0.5393285067556473,0.0036836455856834984,0.013806706114398421,0.001727620792833094,0.0040828315464825965,0.0003455986597012319,0.9856115107913669,0.010137268229243948,0.38405797101449274,0.041553539987694586,0.6159420289855072,0.041553539987694586,0.017447495961227785,0.0007096172198398107
sba_sad_six_1_4_6_7_10_12,24,310249.0410546806,995.2963158392063,0.11811023622047244,0.0833720744056094,5.929133858267717,0.1210198622928977,5.811023622047244,0.13634225970548597,0.15321771957765587,0.001956178599771439,0.014805639119919778,0.0006559076014200953,0.1384120804577361,0.0018754475566018114,0.1434849289211349,0.0019038765016354854,0.21730667138559548,0.0022397547764634175,0.010765056332212588,0.0005604359726225953,0.5473752061580858,0.0035647634161086452,0.012538540596094553,0.0015954631914250332,0.0037456497375095853,0.00033175450017561324,0.984251968503937,0.011091263185413605,0.4140625,0.043707577506044086,0.5859375,0.04370757750604408,0.017489529876717987,0.0007119111370682628
