model,turn,index_mean,index_sem,final_score_mean,final_score_sem,final_non_zero_score_mean,final_non_zero_score_sem,bombout_score_mean,bombout_score_sem,action_is_hint_mean,action_is_hint_sem,action_is_hint_colour_mean,action_is_hint_colour_sem,action_is_hint_rank_mean,action_is_hint_rank_sem,action_is_play_mean,action_is_play_sem,action_is_discard_mean,action_is_discard_sem,action_is_INVALID_mean,action_is_INVALID_sem,action_trigger_bomb_mean,action_trigger_bomb_sem,played_card_knowledge_mean,played_card_knowledge_sem,known_unplayable_play_mean,known_unplayable_play_sem,terminal_mean,terminal_sem,terminal_bombout_mean,terminal_bombout_sem,player_caused_bombout_mean,player_caused_bombout_sem,partner_caused_bombout_mean,partner_caused_bombout_sem,partner_trigger_bomb_mean,partner_trigger_bomb_sem
br_sad_six_1_2_5_6_11_12,0,300343.56998500915,1336.3866357123431,,,,,,,1.0,0.0,0.14652157015157405,0.0026350581304823628,0.8534784298484259,0.002635058130482362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,0.12342457387152296,0.0024509734543126916
br_sad_six_1_2_5_6_11_12,1,299882.59232444526,1370.121945977828,,,,,,,0.3379834010241921,0.003629200810084063,0.011713461651656954,0.0008254921425186467,0.3262699393725352,0.0035971650699900977,0.6568367767378892,0.0036425705637818857,0.005179822237918653,0.0005507551850060555,0.0,0.0,0.0,0.0,1.0000000149011612,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0005297545470598623,0.00017654326539780216
br_sad_six_1_2_5_6_11_12,2,300347.56998500915,1336.3866357123431,,,,,,,0.565487757481539,0.003693650130119726,0.19626894675476098,0.0029595406783661303,0.3692188107267781,0.0035960392220038295,0.4254066959080562,0.003684050583993355,0.009105546610404752,0.0007077988508670794,0.0,0.0,0.0,0.0,1.0000000149011612,0.0,0.0,0.0,0.0,0.0,,,,,,,0.00977180611848315,0.0007329902673427575
br_sad_six_1_2_5_6_11_12,3,299886.59232444526,1370.121945977828,,,,,,,0.38748602036611923,0.0037377899830407313,0.061157219377244096,0.0018384387906996088,0.3263288009888752,0.0035973323795886595,0.5544175643063158,0.003813391513145091,0.0580964153275649,0.0017947615913064049,0.0,0.0,0.041261993054329274,0.0015259979380912463,0.8114625269821785,0.0017572827781910994,0.001698694128888417,0.00042433520978566537,0.0,0.0,,,,,,,0.007239978809818117,0.0006504586017193675
br_sad_six_1_2_5_6_11_12,4,300351.56998500915,1336.3866357123431,,,,,,,0.5763699961134862,0.003682028806184699,0.20359780134362335,0.0030005157490381176,0.37277219476986284,0.003603110242416594,0.350841152628949,0.0035560994535032368,0.07278885125756482,0.0019358196715282341,0.0,0.0,0.03442340791738382,0.0013585118770089214,0.7332988433194398,0.002639468532839827,0.001266023104921665,0.0004473587306341068,0.0,0.0,,,0.0,0.0,1.0,0.0,0.06923546721448004,0.0018915915713045377
br_sad_six_1_2_5_6_11_12,5,299890.59232444526,1370.121945977828,,,,,,,0.5253399258343634,0.003831249449299049,0.10171287303549355,0.0023191264159333255,0.42362705279886986,0.0037911634717454276,0.3138501383247984,0.0035604060152660513,0.1608099358408382,0.0028184833902520847,0.0,0.0,0.020130672788274767,0.0010775615846735597,0.6263873309437786,0.002714313830893797,0.004876219054763691,0.000954060278644252,0.0,0.0,,,0.0,0.0,1.0,0.0,0.019777503090234856,0.001068259926868618
br_sad_six_1_2_5_6_11_12,6,300448.7693463143,1338.2239576632721,,,,,,,0.4437830319888734,0.003705826601661503,0.14586926286509042,0.002632823228317489,0.29791376912378303,0.0034112861210027524,0.3549374130737135,0.0035690649235197956,0.20127955493741306,0.002990713862257291,0.0,0.0,0.02909596662030598,0.0012536669557846121,0.6205195394163618,0.002308564905621868,0.0018808777429467085,0.0005424942889947418,0.0,0.0,,,0.0,0.0,1.0,0.0,0.06620305980528512,0.001854568528928317
br_sad_six_1_2_5_6_11_12,7,299905.5981748602,1370.3766269971306,,,,,,,0.49319988224904326,0.003836276002274201,0.11480718280836032,0.0024461522264618007,0.37839269944068293,0.0037214264239016836,0.28054165440094203,0.003447319322699087,0.22625846335001473,0.0032105569787107607,0.0,0.0,0.02802472770091257,0.001266421626612557,0.568451450459448,0.0029651157829366772,0.012381951731374607,0.0016021500433078396,0.0,0.0,,,0.0,0.0,1.0,0.0,0.022019428907859875,0.0011260252997377714
br_sad_six_1_2_5_6_11_12,8,301404.61358142673,1346.8472730636831,0.0,0.0,2.0,0.0,2.0,0.0,0.3683737140929788,0.0036166864056012245,0.10084883917027376,0.0022578144388971815,0.26752487492270505,0.0033190589403998207,0.3589858901568385,0.0035967389974600615,0.2726403957501827,0.0033389208970345916,0.0,0.0,0.03322277812131092,0.0013437473390231663,0.5664625825270581,0.0024188952699315588,0.0039148136548700285,0.0007814898416352689,0.0005621451458766654,0.00017772092683199846,1.0,0.0,0.0546448087431694,0.016847531142800933,0.9453551912568307,0.016847531142800933,0.03440328292765192,0.0013665775232386682
br_sad_six_1_2_5_6_11_12,9,299968.2541384389,1370.911453207849,0.0,0.0,2.3333333333333335,0.3333333333333333,2.3333333333333335,0.3333333333333333,0.43982326951399114,0.0038098645403681526,0.11204712812960235,0.002421047019405581,0.3277761413843888,0.0036029109773236196,0.2749926362297496,0.0034272015227345297,0.2851840942562592,0.0034655139768592527,0.0,0.0,0.02974963181148748,0.0013040390801739665,0.5622316383778244,0.003315365619974158,0.012639245929734361,0.0016352328840172937,0.00017673048600883653,0.00010202938221843551,1.0,0.0,0.046875,0.026630253226448335,0.953125,0.026630253226448335,0.0222680412371134,0.0011325537307954367
